long	lat	depth
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418630	-1.426240	-0.94
-48.418630	-1.426250	-0.94
-48.418630	-1.426250	-0.94
-48.418630	-1.426250	-0.94
-48.418630	-1.426250	-0.94
-48.418630	-1.426250	-0.94
-48.418630	-1.426250	-0.94
-48.418630	-1.426250	-0.94
-48.418630	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426260	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426230	-0.94
-48.418620	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426230	-0.94
-48.418600	-1.426230	-0.94
-48.418600	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.84
-48.418610	-1.426230	-0.84
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418620	-1.426230	-0.94
-48.418620	-1.426230	-0.94
-48.418620	-1.426230	-0.94
-48.418620	-1.426230	-0.94
-48.418620	-1.426230	-0.94
-48.418620	-1.426230	-0.94
-48.418620	-1.426230	-0.94
-48.418620	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426230	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418590	-1.426240	-0.94
-48.418590	-1.426240	-0.94
-48.418590	-1.426240	-0.94
-48.418590	-1.426240	-0.94
-48.418590	-1.426240	-0.94
-48.418590	-1.426240	-0.94
-48.418590	-1.426240	-0.94
-48.418590	-1.426250	-0.94
-48.418590	-1.426250	-0.94
-48.418590	-1.426250	-0.94
-48.418590	-1.426250	-0.94
-48.418590	-1.426250	-0.94
-48.418590	-1.426250	-0.94
-48.418590	-1.426250	-0.94
-48.418590	-1.426250	-0.94
-48.418600	-1.426250	-0.94
-48.418600	-1.426260	-0.94
-48.418600	-1.426260	-0.94
-48.418600	-1.426260	-0.94
-48.418600	-1.426260	-0.94
-48.418600	-1.426260	-0.94
-48.418600	-1.426260	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426260	-0.94
-48.418610	-1.426260	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426240	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418620	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426250	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.84
-48.418610	-1.426240	-0.84
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.84
-48.418610	-1.426240	-0.84
-48.418610	-1.426240	-0.84
-48.418610	-1.426240	-0.84
-48.418610	-1.426240	-0.94
-48.418610	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.84
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
-48.418600	-1.426240	-0.94
